,,,,,
NAME,DESCRIPTION,COUNTRY,CONTINENT,LAT,LON
Paris,"Paris  is the capital and most populous city of France, with an estimated population of 2,175,601 residents as of 2018, in an area of more than 105 square kilometres. Since the 17th century, Paris has been one of Europe's major centres of finance, diplomacy, commerce, fashion, gastronomy, science, and arts. The City of Paris is the centre and seat of government of the region and province of Île-de-France, or Paris Region, which has an estimated population of 12,174,880, or about 18 percent of the population of France as of 2017. According to the Economist Intelligence Unit Worldwide Cost of Living Survey in 2018, Paris was the second most expensive city in the world. For centuries Paris has been one of the world’s most important and attractive cities. It is appreciated for the opportunities it offers for business and commerce, for study, for culture, and for entertainment; its gastronomy, haute couture, painting, literature, and intellectual community especially enjoy an enviable reputation. Its sobriquet “the City of Light” (“la Ville Lumière”), earned during the Enlightenment, remains appropriate, for Paris has retained its importance as a centre for education and intellectual pursuits. There you cand ",France,EU,"48,8534100","2,3488000"
Berlin,"Berlin is a world city of culture, politics, media and science. It's economy is based on high-tech firms and the service sector, encompassing a diverse range of creative industries, research facilities, media corporations and convention venues. Berlin serves as a continental hub for air and rail traffic and has a highly complex public transportation network. The metropolis is a popular tourist destination.Significant industries also include IT, pharmaceuticals, biomedical engineering, clean tech, biotechnology, construction and electronics. Berlin contains three World Heritage Sites: Museum Island; the Palaces and Parks of Potsdam and Berlin; and the Berlin Modernism Housing Estates. Berlin is well known for its offerings of vegetarian and vegan cuisine and is home to an innovative entrepreneurial food scene promoting cosmopolitan flavors, local and sustainable ingredients, pop-up street food markets, supper clubs, as well as food festivals, such as Berlin Food Week.",Germany,EU,"52,5243700","13,4105300"
Madrid,"The Madrid urban agglomeration has the third-largest GDP in the European Union and its influence in politics, education, entertainment, environment, media, fashion, science, culture, and the arts all contribute to its status as one of the world's major global cities.Madrid is home to two world-famous football clubs, Real Madrid and Atlético Madrid. Due to its economic output, high standard of living, and market size, Madrid is considered the major financial centre and the leading economic hub of the Iberian Peninsula and of Southern Europe. It hosts the head offices of the vast majority of major Spanish companies, such as Telefónica, IAG and Repsol. Madrid is also the 8th most liveable city in the world according to Monocle magazine, in its 2019 index. While Madrid possesses modern infrastructure, it has preserved the look and feel of many of its historic neighbourhoods and streets. Its landmarks include the Plaza Mayor, the Royal Palace of Madrid; the Royal Theatre with its restored 1850 Opera House; the Buen Retiro Park, founded in 1631; the 19th-century National Library building (founded in 1712) containing some of Spain's historical archives; many national museums, and the Golden Triangle of Art, located along the Paseo del Prado and comprising three art museums: Prado Museum, the Reina Sofía Museum, a museum of modern art, and the Thyssen-Bornemisza Museum, which complements the holdings of the other two museums. Cibeles Palace and Fountain has become one of the monument symbols of the city.",Spain,EU,"40,4165000","-3,7025600"
Istanbul,"Istanbul is the largest city in Turkey and the country's economic, cultural and historic center. The city straddles the Bosphorus strait, and lies in both Europe and Asia, with a population of over 15 million residents, comprising 19% of the population of Turkey. Istanbul is the most populous city in Europe,and the world's fifteenth-largest city. stanbul is primarily known for its Byzantine and Ottoman architecture, and despite its development as a Turkish city since 1453, contains a vast array of ancient, Roman, Byzantine, Christian, Muslim and Jewish monuments. Istanbul was historically known as a cultural hub, but its cultural scene stagnated after the Turkish Republic shifted its focus toward Ankara. The new national government established programs that served to orient Turks toward musical traditions, especially those originating in Europe, but musical institutions and visits by foreign classical artists were primarily centered in the new capital.",Turkey,EU,"41,0138400","28,9496600"
Moscow,"As the northernmost and coldest megacity in the world, and with a history that dates over eight centuries, Moscow is governed as a federal city (since 1993)that serves as the political, economic, cultural, and scientific centre of Russia and Eastern Europe. As an alpha world city, Moscow has one of the world's largest urban economies. The city is one of the fastest growing tourist destinations in the world, and is one of Europe's most visited cities. Moscow is home to the fourth-highest number of billionaires of any city in the world, and has the highest number of billionaires of any city in Europe. The Moscow International Business Center is one of the largest financial centres in Europe and the world, and features some of Europe's tallest skyscrapers. Muscovites enjoy public digital services more than anywhere else in Europe, and the best e-government services in the world. Moscow was the host city of the 1980 Summer Olympics, and one of the host cities of the 2018 FIFA World Cup. Moscow's architecture is world-renowned. Moscow is the site of Saint Basil's Cathedral, with its elegant onion domes, as well as the Cathedral of Christ the Savior and the Seven Sisters. ",Russia,RU,"55,7522200","37,6155600"
Rome,"Rome's history spans 28 centuries. While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer, making it a major human settlement for almost three millennia and one of the oldest continuously occupied cities in Europe.The city's early population originated from a mix of Latins, Etruscans, and Sabines. Eventually, the city successively became the capital of the Roman Kingdom, the Roman Republic and the Roman Empire, and is regarded by many as the first-ever Imperial city and metropolis. It was first called The Eternal City (Latin: Urbs Aeterna; Italian: La Città Eterna) by the Roman poet Tibullus in the 1st century BC, and the expression was also taken up by Ovid, Virgil, and Livy. Rome is also called ""Caput Mundi"" (Capital of the World). After the fall of the Empire in the west, which marked the beginning of the Middle Ages, Rome slowly fell under the political control of the Papacy, and in the 8th century, it became the capital of the Papal States, which lasted until 1870. Beginning with the Renaissance, almost all popes since Nicholas V (1447–1455) pursued a coherent architectural and urban programme over four hundred years, aimed at making the city the artistic and cultural centre of the world. In this way, Rome became first one of the major centres of the Renaissance, and then the birthplace of both the Baroque style and Neoclassicism. Famous artists, painters, sculptors, and architects made Rome the centre of their activity, creating masterpieces throughout the city.Rome is a sprawling cosmopolitan city with nearly 3,000 years of world-influenced art, architecture and culture on display. Ancient ruins such as the Forum and Colosseum evoke the power of the ancient Roman Empire. Vatican City, headquarters of the Roman Catholic Church, features St. Peter's Basilica and the Vatican Museums, which house masterpieces such as Michelangelo's Sistine Chapel frescoes.",Italy,EU,"41,8919300","12,5113300"
Ourense,"Ourense is a city and capital of the province of Ourense, located in the autonomous community of Galicia, northwestern Spain. It is on the Portuguese Way path of the Way of St James (Camino de Santiago), and is crossed by the Miño, Barbaña, Loña and Barbañica rivers. It is also known as A cidade das Burgas (in Galician) due to its hot springs, being one of the European cities with the greatest thermal heritage.",Spain,EU,"42,3366900","-7,8640700"
Vigo,"Vigo is a city and municipality in the province of Pontevedra, within the autonomous community of Galicia, Spain. Located in the northwest of the Iberian Peninsula, it sits on the southern shore of an inlet of the Atlantic Ocean, the Ria de Vigo, the southernmost of the so-called Rías Baixas.
Vigo is one of the region's primary economic agents, owing to the Stellantis Vigo Plant and to its port. Close to the Portugal–Spain border, Vigo is part of the Galicia–North Portugal Euroregion. The European Fisheries Control Agency is headquartered in Vigo.",Spain,EU,"42,2328200","-8,7226400"
A Coruña,"A Coruña is a city and municipality of Galicia, Spain. A Coruña is the most populated city in Galica and the second most populated municipality in the autonomous community and seventeenth overall in the country. The city is the provincial capital of the province of the same name, having also served as political capital of the Kingdom of Galicia from the 16th to the 19th centuries, and as a regional administrative centre between 1833 and 1982.
The city is the site of the Roman Tower of Hercules, a lighthouse which has been in continuous operation since possibly the 2nd century AD. It has been declared by UNESCO as a World Heritage Site. It is surrounded by a large public park with a golf course and the so-called Moor's Graveyard (Cemiterio do Moro in Galician, Cementerio del Moro in Spanish) a building where in fact there were never burials, Muslim or not, which now houses the Casa das Palabras (Galician for House of Words) museum. The lighthouse features as the main emblem of the city's flag and coat of arms.",Spain,EU,"43,37135","-8,3960000"
Santiago,"Santiago de Compostela is the capital of the autonomous community of Galicia, in northwestern Spain. The city has its origin in the shrine of Saint James the Great, now the Cathedral of Santiago de Compostela, as the destination of the Way of St. James, a leading Catholic pilgrimage route since the 9th century.",Spain,EU,"42,8805200","-8,5456900"
